id_md5,click_id,has_click,user_id
cc53260eebdfc6c10624b285e4217cc1,CLK_000000,1,U_182472
dff5fdc5988ef225fa7cc9536c3f7287,CLK_000001,1,U_93969
313ed95431c5e20cf8d4d3db276f32e0,CLK_000002,1,U_337775
2b6e63ddb5fa0853320168ad9c1fe893,CLK_000003,1,U_27840
48af8fad9adc3c0e9e80b23da44d2840,CLK_000004,1,U_376942
e52daa29f09efeb5fa94b33a79f65cb5,CLK_000005,1,U_368013
cc235520a8b4bc58792794e59a9ecaa0,CLK_000006,1,U_284807
160d0632a7bce93cc6009e2e81ad6186,CLK_000007,1,U_444316
41f42210a0d6f118c1960f8193be244b,CLK_000008,1,U_298913
11b115c83cded306e700e04f6f5a87d9,CLK_000009,1,U_330366
08ef4e3f83393b7da92434ec1aebd3f5,CLK_000010,1,U_255975
76164ef3ba33bc09e15c3c13b25e835d,CLK_000011,1,U_447694
d6f0e7954db6213b40eb5a36e8af4981,CLK_000012,1,U_336354
cb05e12a1204c1ebb30262f808009a60,CLK_000013,1,U_375427
291dbb8d4f1906014b2a49e56c04c33a,CLK_000014,1,U_438657
2dfd04eac461c7c7c717e7c16ecc2cb9,CLK_000015,1,U_04807
da34669a244614e8a58df09aadfba241,CLK_000016,1,U_462832
717727ea9663a25d410a1993db6d47d7,CLK_000017,1,U_86791
60273ddc029ba3b33dd2d3f9e3e51bf0,CLK_000018,1,U_280039
f60e2f3ab00cf8b2447f2dd9389503eb,CLK_000019,1,U_63466
598a57fcaa133c17fbcff71531a67381,CLK_000020,1,U_64687
20cad5fe37d216714ddc1b7156334c70,CLK_000021,1,U_65010
60fb8e8bdbbc43517371657d99292e65,CLK_000022,1,U_257558
26489a69e99e9f4d6c7a603758d3652b,CLK_000023,1,U_390974
c6b4c768417a8c7abd0e1e01320a8d7c,CLK_000024,1,U_104914
1ecb5e02aa418e2f38a7d7b9b4c8c0b5,CLK_000025,1,U_156272
bcc036d4c7425924413270b2f2c49b26,CLK_000026,1,U_63180
f86778418c584dd621b93a7772aa1d4a,CLK_000027,1,U_346429
107dbe7573c8ecb41bdb946766786f41,CLK_000028,1,U_66258
ef9f45ddf718077292a2c258ed98f7bd,CLK_000029,1,U_324395
4fa5de41f365a4ac1214e7eaa8569e04,CLK_000030,1,U_421604
f618daf46244ed67107589d5afdffbc2,CLK_000031,1,U_467044
3345e886524ccabfa709745bf6661cea,CLK_000032,1,U_39942
4a198b1bdb77926324e6360a8f302afa,CLK_000033,1,U_300120
ed4e013e868e6c968169f5375d77444a,CLK_000034,1,U_421530
9e64b73536f68eaacd325b1e6f777fab,CLK_000035,1,U_397549
378b350282f6c6885d39551fafead378,CLK_000036,1,U_393124
c0bd88a1c370376800385d9af2229c37,CLK_000037,1,U_279770
dea38cf68f1f5fd15e0ed14e9da0366d,CLK_000038,1,U_311012
59d4c833dbbec8e5f7f6319df54d3376,CLK_000039,1,U_378748
7637a6a2aadb8fcd0f79e7eb75b074e8,CLK_000040,1,U_62575
b5b4476ccdd3700056a2bfa889234bc0,CLK_000041,1,U_29315
d81ad40f0a1b4b20d25dfea3dd7ad242,CLK_000042,1,U_32075
ee0c3fbbe97e84d4dfe64cac50b69233,CLK_000043,1,U_454488
30d90e25a0e007cade21e2809db609b6,CLK_000044,1,U_351371
fc47901d57b2285604dd636bea53c4a5,CLK_000045,1,U_446043
fcc94acc1ff92b3a21beb324cb458a46,CLK_000046,1,U_126947
121df695e8f81dda89ecc864f33174df,CLK_000047,1,U_229028
1827d8c76da2eac47d17acd7bb213fe4,CLK_000048,1,U_358494
a5388493c7e840b7a684688e114db749,CLK_000049,1,U_113654
889fbb50192577b38dce268f335fe563,CLK_000050,1,U_263035
ba3d7a06b2994460fcdaa0f4774ae352,CLK_000051,1,U_26086
b175e6a1057b406e35f06db325c9df4d,CLK_000052,1,U_228106
7c69df02b39dc85b900b67d45272b380,CLK_000053,1,U_239609
bebd95c820924ced979c07ab214124f0,CLK_000054,1,U_135752
d5e07ea991ad5eddcc8560141813b27a,CLK_000055,1,U_299617
b2c02457d81319e9d022b81ff6c5b80a,CLK_000056,1,U_82353
d4437516290cb37b7f4aa3b0a72a2634,CLK_000057,1,U_96761
bb1ac5b16b037aed359c52c82bb970bc,CLK_000058,1,U_452908
90a07ec2c70e4935bdcba7ae4e8d9ffb,CLK_000059,1,U_113570
0b675394d9c7fa38ee1c940957861432,CLK_000060,1,U_262356
65fee7b2293c3d473e02ed5c1a2401a1,CLK_000061,1,U_207223
18a3135706d0000058548f703d86e9f7,CLK_000062,1,U_386705
ab9b761343600f5293654ba64e78b98a,CLK_000063,1,U_429296
ba7a2f848c1444557c9935348f920ad8,CLK_000064,1,U_360238
820b7aa46fc0e54f7f4b4a17d9325f77,CLK_000065,1,U_303840
ad83f80c3e87309c9256d41b274ef895,CLK_000066,1,U_182900
2e27fdaaec58162ad2985445546010fa,CLK_000067,1,U_220743
7a0ceb29ceb536684552fbdbd25845fa,CLK_000068,1,U_431277
1720692f4063ce5effa835cc9a4a5018,CLK_000069,1,U_174024
c53c7305eb2225e39de88bd29c643455,CLK_000070,1,U_347438
8ea779592c6bb1007a4be8f11ba7e28f,CLK_000071,1,U_493704
e2b3e5e72ba58ba46f3c3bd79a2ffcca,CLK_000072,1,U_339994
21313c61373ac9d32e7d5ce355d20e39,CLK_000073,1,U_406784
c76790c875d53fdcc5d251e578ccbeee,CLK_000074,1,U_470435
4a687cf858a41f89784365ac89888855,CLK_000075,1,U_257499
8cb2651fd674da2ab79f6e4b930bfe4d,CLK_000076,1,U_18972
a542e71b1195627454c2cc6fc1a3b78d,CLK_000077,1,U_20839
c056ec1dbfbe53aab7e91340bacf8772,CLK_000078,1,U_121819
8023b6b70f3a1599d562b5787b42588e,CLK_000079,1,U_250924
4a93896cffb5abe8077981b0423fba59,CLK_000080,1,U_155512
195142b518579147abf2b2a0e0c2ce29,CLK_000081,1,U_176921
30f0b8650b60079acb7badd0a1a9cb2a,CLK_000082,1,U_484752
b6f62712676e5d6b59c4c84659495a90,CLK_000083,1,U_284405
f52309b0e92f73662689b53d5f5fa7d8,CLK_000084,1,U_212414
e50723ca251a085f2b1cdf7d81d9ba6f,CLK_000085,1,U_465148
4fc8d822ea6804774ce57fe515dfd8b8,CLK_000086,1,U_486079
a216ac802163f29dee9e59463e55445e,CLK_000087,1,U_375016
c888d00e828c2a1ccff49ede30deeac4,CLK_000088,1,U_67721
85abc00edc444fa618082ac1b24df72e,CLK_000089,1,U_293390
5bb9645572c20b908c289c205a6e0ae1,CLK_000090,1,U_270362
43eb43e03f92aa7b222c9367f5735bb5,CLK_000091,1,U_45893
4b26b41905f8aab684368ed24ba34f5b,CLK_000092,1,U_206747
c0680d63fe92bc926f1fa6b460a3abb9,CLK_000093,1,U_280932
17fb3c07d10ff0cdc82cc2495c238ad0,CLK_000094,1,U_469297
b5a747ec2dd998f4a1da276e21d74ccf,CLK_000095,1,U_443404
e4b0b98dc8a3014c5745134225ff5aea,CLK_000096,1,U_442655
92e70f4ebe17e111aa8cdb226f8566e0,CLK_000097,1,U_485396
882a0b4c110c863381450e77662e74fb,CLK_000098,1,U_398441
f81976534ce5bdcd0b2fd2c3ef43ab7c,CLK_000099,1,U_199846
1f5ee46b431223836cc7368d1b1b3ad6,CLK_000100,1,U_234997
2445fbab268afd8717a389c64e32875e,CLK_000101,1,U_353350
c729a1a4bb2a534eb79e440c21530634,CLK_000102,1,U_379710
154095908f6a32d79d885188444c79e6,CLK_000103,1,U_193639
fa07207cb54b9a9d261beaef9b26e3cf,CLK_000104,1,U_102193
37fded1b79ce350a4df0588d4fc6568b,CLK_000105,1,U_305335
d7de9ac56c1a617884caa90096905798,CLK_000106,1,U_167616
e5937d3dde9d35346e59f223316c5274,CLK_000107,1,U_476881
67b3cbb1b71339ef24b40449876ac8a6,CLK_000108,1,U_27696
94adc2972d17f5c908438aa2370b838e,CLK_000109,1,U_461781
6a054f99b86944ed976273a2e485e89f,CLK_000110,1,U_353185
3f162f77f041a8a9ccdf24c9ed3b3190,CLK_000111,1,U_77241
9324809f4e743227e1fcd6d8385593fb,CLK_000112,1,U_229189
14f30ce73ba529321356fce7cb91ee2b,CLK_000113,1,U_294769
5c1e21c7bda43183d086480dc8568b1c,CLK_000114,1,U_430398
591d77f2193381754c32ed22d5f16f70,CLK_000115,1,U_14105
a814046c28f75bcb6de3df692eea74db,CLK_000116,1,U_345510
48795a070a057dce027ca74ccdb3c79a,CLK_000117,1,U_164908
0517271d8639c35298ce79b8d86686ac,CLK_000118,1,U_18778
a294fa6e79f4abc1662931a2a950173d,CLK_000119,1,U_241429
6cda82b6d002f723972e45f0e4ef9e3b,CLK_000120,1,U_267213
b68a1cceff5c7bf5d9076b1a0c509d00,CLK_000121,1,U_298406
cdedb01d680673b1d4b3323a71b6a341,CLK_000122,1,U_112214
926a6e346c595f5a48a045926e47fe00,CLK_000123,1,U_471884
e7b42f5ec5a84153eb9ed3efc7d965f7,CLK_000124,1,U_124247
d0e30b9ab100d5a48238201ea654756f,CLK_000125,1,U_385441
04bb853c6a474f213d7930cdd710264d,CLK_000126,1,U_257305
2f02926f0c62d55d7334d1f5c2369859,CLK_000127,1,U_235935
7fb1a01b922e3488f5ea4f1f8af4dc29,CLK_000128,1,U_404927
2d4caca4229ace59b2e5b112142b0744,CLK_000129,1,U_156654
c01df820b9e604993300d126a7199926,CLK_000130,1,U_414267
6719df43fb9bccfe6d61c0ab513c8e67,CLK_000131,1,U_29930
2c1cfa2299dcd00def384a176cda3420,CLK_000132,1,U_446634
326a781201c76e7880604d81fad02387,CLK_000133,1,U_465784
e94e041621eff3872ef4c2fd089c05c5,CLK_000134,1,U_364455
60644af368d189b12551107479a5a77d,CLK_000135,1,U_483321
fa67d55808422cd4c28d09a6168fe6b3,CLK_000136,1,U_363939
4c0fc8c08dc5c4a08cf26a8753274d33,CLK_000137,1,U_223872
f1045f28e3dc0fbf65683b535f411293,CLK_000138,1,U_75437
c9815f62562d34f32c4c23117a6d16e1,CLK_000139,1,U_297398
77b02c5e09d50694ca88c6c3592b2c8f,CLK_000140,1,U_165320
8f84e52ce01315653101c63c719a3f97,CLK_000141,1,U_377267
8c06243b5a4fc36aa2ed2d47df82f931,CLK_000142,1,U_248920
725240a973cba86e28c84ccfbda73f0f,CLK_000143,1,U_334327
6062d3b2164e6887230e1b3d397bef3a,CLK_000144,1,U_439899
7edfc78afddb8d33c426d87882e5c7e7,CLK_000145,1,U_149545
da760f5a44a1ab5b4d0bc501803e85e0,CLK_000146,1,U_367798
84ae8a03d5f6947923479b2a2c011b5a,CLK_000147,1,U_38817
4f0732e6fbcb313419e84728c2dc51d2,CLK_000148,1,U_143842
d3436022b72ee6e16646cb58517c90ab,CLK_000149,1,U_180016
e7e260e8988277aa04ac5aa3bd969f34,CLK_000150,1,U_136773
f11827a709273b7781ff476f36c86485,CLK_000151,1,U_360705
99851db0c1b03a8d687ce76d98f2a400,CLK_000152,1,U_487861
54e4252b2b8d5c6be3b962f14a2e7e57,CLK_000153,1,U_450895
f6d3dadb429c6a48524f2b6d81539a9f,CLK_000154,1,U_413771
e670c5e1b7850ddbb1c430eb73d1c37d,CLK_000155,1,U_243516
84c54b6e43748ce4d306563f845cb84a,CLK_000156,1,U_96774
f4cdd90f0016a6f7382af0fd0f9e3558,CLK_000157,1,U_58695
52d31f8b375c38527df6db9d822f3d7a,CLK_000158,1,U_36358
9571e3c99092f9670c2eb56bc8adc06d,CLK_000159,1,U_328127
a4295b8896a5f1f4d4f5b5872a736431,CLK_000160,1,U_136157
1c6a43fe318a4efdae3265836bf14d59,CLK_000161,1,U_248166
40c0d500854a299a770f0075d297f2f1,CLK_000162,1,U_178037
ee36cbedb4e84c1ecb69f46d47e44daa,CLK_000163,1,U_352848
8f1ebf9285235b959ebf680695844e3c,CLK_000164,1,U_338201
27ddf5cb908771bd450628344286ce0e,CLK_000165,1,U_228514
71222ec53844323fa1f1e626c7fb0d1b,CLK_000166,1,U_170873
f6de04ba034f1bddf36971b44b077523,CLK_000167,1,U_145396
e07700b0a92c478fc39df240af312353,CLK_000168,1,U_92506
aa044942abac7f8938b2a79e91a20b70,CLK_000169,1,U_25421
